rchilochus colubri
olumba livi
iranga ludovician
uiscalus quiscul
yrannus vociferan
ythya collari
ctitis maculariu
haradrius nivosu
ccipiter cooperi
yanocitta steller
oxostoma curvirostr
piza american
asserculus sandwichensi
ergus merganse
ythya affini
roglodytes aedo
ialia siali
achycineta bicolo
icoides scalari
ialia currucoide
etophaga coronata audubon
ydroprogne caspi
ayornis nigrican
aematopus palliatu
avia imme
aemorhous mexicanu
pinus psaltri
umenius americanu
ombycilla cedroru
elospiza lincolni
halacrocorax brasilianu
oragyps atratu
onotrichia albicolli
ayornis say
yctanassa violace
halasseus elegan
heucticus ludovicianu
terna hirund
eiurus aurocapill
atagioenas fasciat
asserina caerule
elanerpes erythrocephalu
haradrius semipalmatu
elospiza georgian
rogne subi
nas clypeat
estor meridionali
rdea alb
hryomanes bewicki
gretta novaehollandia
elanerpes formicivoru
yrannus verticali
imosa fedo
ria aalg
oecile rufescen
elasphorus sasi
yrannus forficatu
olothrus aeneu
alco sparveriu
trix vari
asserina ciri
ergus serrato
hryothorus ludovicianu
oecile atricapillu
urdus merul
gretta garzett
onotrichia querul
yrocephalus rubinu
allinula chloropu
rithacus rubecul
treptopelia decaoct
yiopsitta monachu
odiceps auritu
phelocoma californic
egaceryle alcyo
mberiza citrinell
ycteria american
cterus spuriu
utorides virescen
iranga olivace
icoides nuttalli
ringa melanoleuc
oxostoma redivivu
hroicocephalus ridibundu
etophaga pinu
elecanus occidentalis californicu
aemorhous purpureu
thene cuniculari
allipepla californic
ubo scandiacu
etophaga pensylvanic
allinula galeat
yiarchus crinitu
uteo swainson
arus heermann
ireo olivaceu
orvus brachyrhyncho
cterus galbul
yto alb
uphagus cyanocephalu
