elanitta perspicillat
arus marinu
alidris alpin
pizella pusill
ycticorax nycticora
urdus migratoriu
etophaga petechi
ranta bernicl
itangus sulphuratu
otacilla alb
etophaga ruticill
turnus vulgari
arus glaucescen
olumba livia domestic
pizella passerin
reothlypis ruficapill
ntigone canadensi
ygnus olo
olioptila caerule
arus canu
ythya valisineri
ircus cyaneu
turnella neglect
pinus pinu
latalea ajaj
legadis chih
unco hyemali
yrannus tyrannu
xyura jamaicensi
ynchops nige
eothlypis tricha
ulica american
icoides villosu
uiscalus mexicanu
cterus bullocki
umetella carolinensi
ythya maril
hen caerulescen
nas cyanopter
ecurvirostra american
ix spons
heucticus melanocephalu
lanus leucuru
asserina cyane
elecanus erythrorhyncho
emiphaga novaeseelandia
alco tinnunculu
olothrus ate
nthus rubescen
nas streper
hroicocephalus philadelphi
urdus gray
gretta caerule
erthia american
etophaga coronata coronat
telgidopteryx serripenni
ica pic
cterus cucullatu
arus delawarensi
nas american
ubo virginianu
nser albifron
uteo jamaicensi
rosthemadera novaeseelandia
enaida macrour
ctinia mississippiensi
luvialis squatarol
ilvus milvu
aematopus bachman
imantopus mexicanu
elozone crissali
alidris maur
nas platyrhyncho
renaria interpre
lopochen aegyptiac
remophila alpestri
ubulcus ibi
ipilo erythrophthalmu
uteo bute
ialia mexican
ringa semipalmat
hasianus colchicu
orvus cora
ulica atr
ringa flavipe
udocimus albu
onotrichia leucophry
odilymbus podicep
nas crecc
ynanthus latirostri
ucephala albeol
alidris alb
ccipiter striatu
halacrocorax penicillatu
arus majo
alpinctes obsoletu
olaptes auratu
arus californicu
arus dominicanu
alypte ann
