itta canadensi
ryocopus pileatu
arus canu
ydroprogne caspi
ria aalg
ucephala albeol
asserella iliac
asserina caerule
rdea herodia
anthocephalus xanthocephalu
ardellina pusill
itangus sulphuratu
reothlypis ruficapill
gretta caerule
ynchops nige
icoides scalari
alidris alb
odiceps nigricolli
udocimus albu
etophaga coronata coronat
elanerpes erythrocephalu
orvus coron
uteo lineatu
ophodytes cucullatu
istothorus palustri
ialia mexican
ccipiter cooperi
estor meridionali
yrannus tyrannu
umetella carolinensi
endrocygna autumnali
pinus pinu
asserina ciri
etrochelidon pyrrhonot
alco sparveriu
ampylorhynchus brunneicapillu
achycineta thalassin
icoides villosu
elecanus occidentali
cterus cucullatu
alypte ann
imosa fedo
nas clypeat
arus argentatu
elanerpes formicivoru
aeolophus bicolo
allinula chloropu
roglodytes aedo
nas cyanopter
orvus brachyrhyncho
ccipiter striatu
uiscalus mexicanu
quila chrysaeto
nas american
turnus vulgari
nas platyrhyncho
yanocitta steller
saltriparus minimu
cterus bullocki
umenius americanu
andion haliaetu
ctitis maculariu
yrannus forficatu
ygnus olo
halacrocorax auritu
gretta rufescen
halacrocorax varius variu
egaceryle alcyo
ycteria american
eothlypis tricha
rithacus rubecul
otacilla alb
allipepla californic
iranga olivace
aracara cheriwa
ialia currucoide
piza american
rotophaga sulcirostri
olumbina inc
lanus leucuru
orvus cora
elospiza georgian
ycticorax nycticora
olumba livi
ircus cyaneu
arus delawarensi
nas discor
ranta bernicl
aemorhous mexicanu
terna hirund
cterus spuriu
ipilo maculatu
aematopus palliatu
gelaius phoeniceu
ayornis nigrican
egulus calendul
ringa solitari
gretta thul
etophaga coronat
halacrocorax carb
